"熟語","読み","出題級","種類","ほかの読み","よく使う順位","出典","校正状態"
"姉妹","しまい","6級から","","しまい / きょうだい","5209","常用漢字表","校正不要"
"走行","そうこう","6級から","","","5210","常用漢字表","校正不要"
"議事","ぎじ","6級から","","","5211","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"文部","もんぶ","6級から","","","5212","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"歌手","かしゅ","6級から","","","5214","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"観念","かんねん","6級から","","","5215","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"電池","でんち","6級から","","","5217","常用漢字表","校正不要"
"上下","うえした","6級から","","うえした / じょうげ / かみしも / しょうか / じょうか","5219","常用漢字表","校正不要"
"学術","がくじゅつ","6級から","","","5220","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"先月","せんげつ","6級から","","","5223","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"川崎","かわさき","6級から","","","5226","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"家電","かでん","6級から","","かでん / いえでん","5232","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"店内","てんない","6級から","","","5233","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"同期","どうき","6級から","","","5237","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"移植","いしょく","6級から","","","5239","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"自国","じこく","6級から","","","5245","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"収容","しゅうよう","5級から","","","5246","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"全身","ぜんしん","6級から","","","5248","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"率直","そっちょく","6級から","","","5250","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"駅前","えきまえ","6級から","","","5254","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"職務","しょくむ","6級から","","","5261","常用漢字表","校正不要"
"商標","しょうひょう","6級から","","","5262","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"絶望","ぜつぼう","6級から","","","5263","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"食堂","しょくどう","6級から","","しょくどう / じきどう","5265","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"連休","れんきゅう","6級から","","","5266","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"入社","にゅうしゃ","6級から","","","5272","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"予備","よび","6級から","","","5273","常用漢字表","校正不要"
"出勤","しゅっきん","5級から","","","5276","常用漢字表","校正不要"
"部会","ぶかい","6級から","","","5278","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"返済","へんさい","5級から","","","5291","常用漢字表","校正不要"
"外務","がいむ","6級から","","","5294","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"省庁","しょうちょう","5級から","","","5296","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"付属","ふぞく","6級から","","","5299","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"節約","せつやく","6級から","","","5304","常用漢字表","校正不要"
"清水","しみず","6級から","熟字訓","しみず / せいすい / きよみず","5309","常用漢字表（付表・熟字訓）","校正不要"
"手前","てまえ","6級から","","","5310","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"司会","しかい","6級から","","","5315","常用漢字表","校正不要"
"合同","ごうどう","6級から","","","5325","常用漢字表","校正不要"
"主導","しゅどう","6級から","","","5329","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"部下","ぶか","6級から","","","5333","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"公団","こうだん","6級から","","","5334","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"習得","しゅうとく","6級から","","","5337","常用漢字表","校正不要"
"高知","こうち","6級から","","","5338","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"直面","ちょくめん","6級から","","","5339","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"転送","てんそう","6級から","","","5346","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
