"熟語","読み","出題級","種類","ほかの読み","よく使う順位","出典","校正状態"
"鳥類","ちょうるい","6級から","","","24925","常用漢字表","校正不要"
"定規","じょうぎ","6級から","","","24952","常用漢字表","校正不要"
"歌曲","かきょく","6級から","","","24965","常用漢字表","校正不要"
"衣食住","いしょくじゅう","6級から","","","25013","常用漢字表","校正不要"
"進言","しんげん","6級から","","","25093","常用漢字表","校正不要"
"未完","みかん","6級から","","","25147","常用漢字表","校正不要"
"係争","けいそう","6級から","","","25178","常用漢字表","校正不要"
"羽毛","うもう","6級から","","","25206","常用漢字表","校正不要"
"増刷","ぞうさつ","6級から","","","25211","常用漢字表","校正不要"
"上人","しょうにん","6級から","","","25320","常用漢字表","校正不要"
"看病","かんびょう","5級から","","","25451","常用漢字表","校正不要"
"意気投合","いきとうごう","6級から","","","25485","国語辞典(JMdict)｜四字熟語","校正不要"
"石灰","せっかい","5級から","","せっかい / いしばい","25505","常用漢字表","校正不要"
"物音","ものおと","6級から","","","25543","常用漢字表","校正不要"
"卵巣","らんそう","5級から","","","25550","常用漢字表","校正不要"
"素性","すじょう","6級から","","すじょう / そせい","25561","常用漢字表","校正不要"
"始終","しじゅう","6級から","","","25609","常用漢字表","校正不要"
"土着","どちゃく","6級から","","","25661","常用漢字表","校正不要"
"変装","へんそう","5級から","","","25724","常用漢字表","校正不要"
"養蚕","ようさん","5級から","","","25780","常用漢字表","校正不要"
"口紅","くちべに","5級から","","","25813","常用漢字表","校正不要"
"居候","いそうろう","6級から","","","25864","常用漢字表","校正不要"
"仁義","じんぎ","5級から","","","25874","常用漢字表","校正不要"
"奮起","ふんき","5級から","","","25878","常用漢字表","校正不要"
"純真","じゅんしん","5級から","","","25885","常用漢字表","校正不要"
"大群","たいぐん","6級から","","","25972","常用漢字表","校正不要"
"神代","かみよ","6級から","","かみよ / じんだい / しんだい","25992","常用漢字表","校正不要"
"耳鼻科","じびか","6級から","","","26028","常用漢字表","校正不要"
"子弟","してい","6級から","","","26155","常用漢字表","校正不要"
"名札","なふだ","6級から","","","26164","常用漢字表","校正不要"
"表裏一体","ひょうりいったい","5級から","","","26198","国語辞典(JMdict)｜四字熟語","校正不要"
"鋼材","こうざい","5級から","","","26216","常用漢字表","校正不要"
"化身","けしん","6級から","","","26242","常用漢字表","校正不要"
"万国","ばんこく","6級から","","","26274","常用漢字表","校正不要"
"大判","おおばん","6級から","","","26280","常用漢字表","校正不要"
"就航","しゅうこう","5級から","","","26312","常用漢字表","校正不要"
"植樹","しょくじゅ","5級から","","","26321","常用漢字表","校正不要"
"郷里","きょうり","5級から","","きょうり / くに","26442","常用漢字表","校正不要"
"枝葉","えだは","6級から","","えだは / しよう","26474","常用漢字表","校正不要"
"陽光","ようこう","6級から","","","26478","常用漢字表","校正不要"
"竹林","ちくりん","6級から","","ちくりん / たけばやし","26497","常用漢字表","校正不要"
"白状","はくじょう","6級から","","","26565","常用漢字表","校正不要"
"首輪","くびわ","6級から","","","26640","常用漢字表","校正不要"
"三流","さんりゅう","6級から","","さんりゅう / さんる","26662","常用漢字表","校正不要"
"持久","じきゅう","6級から","","","26672","常用漢字表","校正不要"
"番人","ばんにん","6級から","","","26677","常用漢字表","校正不要"
"余興","よきょう","6級から","","","26690","常用漢字表","校正不要"
"岩場","いわば","6級から","","","26730","常用漢字表","校正不要"
"班長","はんちょう","5級から","","","26749","常用漢字表","校正不要"
"無愛想","ぶあいそう","6級から","","ぶあいそう / ぶあいそ","26767","常用漢字表","校正不要"
"内気","うちき","6級から","","","26774","常用漢字表","校正不要"
"素手","すで","6級から","","","26782","常用漢字表","校正不要"
"糖分","とうぶん","5級から","","","26794","常用漢字表","校正不要"
"沿革","えんかく","5級から","","","26811","常用漢字表","校正不要"
"北風","きたかぜ","6級から","","きたかぜ / ほくふう","26815","常用漢字表","校正不要"
"師事","しじ","6級から","","","26825","常用漢字表","校正不要"
"油絵","あぶらえ","6級から","","","26836","常用漢字表","校正不要"
"新案","しんあん","6級から","","","26851","常用漢字表","校正不要"
"組長","くみちょう","6級から","","","26874","常用漢字表","校正不要"
"旅路","たびじ","6級から","","","26909","常用漢字表","校正不要"
"慣性","かんせい","6級から","","","26929","常用漢字表","校正不要"
"誌面","しめん","5級から","","","26954","常用漢字表","校正不要"
"直立","ちょくりつ","6級から","","","27020","常用漢字表","校正不要"
"恩人","おんじん","5級から","","","27044","常用漢字表","校正不要"
"節句","せっく","6級から","","","27065","常用漢字表","校正不要"
"助力","じょりょく","6級から","","","27072","常用漢字表","校正不要"
"吸入","きゅうにゅう","5級から","","","27178","常用漢字表","校正不要"
"宮司","ぐうじ","6級から","","","27228","常用漢字表","校正不要"
"日常茶飯","にちじょうさはん","6級から","","","27245","国語辞典(JMdict)｜四字熟語","校正不要"
"枚挙","まいきょ","5級から","","","27276","常用漢字表","校正不要"
"炭火","すみび","6級から","","","27383","常用漢字表","校正不要"
"出納","すいとう","5級から","","","27452","常用漢字表","校正不要"
"一部始終","いちぶしじゅう","6級から","","","27483","国語辞典(JMdict)｜四字熟語","校正不要"
"城内","じょうない","6級から","","","27493","常用漢字表","校正不要"
"性分","しょうぶん","6級から","","","27533","常用漢字表","校正不要"
"秋季","しゅうき","6級から","","","27547","常用漢字表","校正不要"
"言語道断","ごんごどうだん","6級から","","","27560","国語辞典(JMdict)｜四字熟語","校正不要"
"針金","はりがね","5級から","","","27593","常用漢字表","校正不要"
"示談","じだん","6級から","","","27613","常用漢字表","校正不要"
"武勇","ぶゆう","6級から","","","27665","常用漢字表","校正不要"
"財宝","ざいほう","5級から","","","27688","常用漢字表","校正不要"
"温厚","おんこう","6級から","","","27807","常用漢字表","校正不要"
"平素","へいそ","6級から","","","27906","常用漢字表","校正不要"
"弱肉強食","じゃくにくきょうしょく","6級から","","","27968","国語辞典(JMdict)｜四字熟語","校正不要"
"形相","ぎょうそう","6級から","","ぎょうそう / けいそう","28020","常用漢字表","校正不要"
"奮発","ふんぱつ","5級から","","","28102","常用漢字表","校正不要"
"歩合","ぶあい","6級から","","","28142","常用漢字表","校正不要"
"進級","しんきゅう","6級から","","","28171","常用漢字表","校正不要"
"食塩","しょくえん","6級から","","","28254","常用漢字表","校正不要"
"帰納","きのう","5級から","","","28295","常用漢字表","校正不要"
"晩秋","ばんしゅう","5級から","","","28335","常用漢字表","校正不要"
"門外漢","もんがいかん","6級から","","","28345","常用漢字表","校正不要"
"護身","ごしん","6級から","","","28364","国語辞典(JMdict)｜対義語・熟語の構成で使う語","校正不要"
"風上","かざかみ","6級から","","","28381","常用漢字表","校正不要"
"縮図","しゅくず","5級から","","","28425","常用漢字表","校正不要"
"元日","がんじつ","6級から","","がんじつ / がんにち","28460","常用漢字表","校正不要"
"論戦","ろんせん","5級から","","","28515","常用漢字表","校正不要"
"原色","げんしょく","6級から","","","28539","常用漢字表","校正不要"
"職責","しょくせき","6級から","","","28560","常用漢字表","校正不要"
"毛糸","けいと","6級から","","","28565","常用漢字表","校正不要"
"城下町","じょうかまち","6級から","","","28586","常用漢字表","校正不要"
"引力","いんりょく","6級から","","","28597","常用漢字表","校正不要"
"多元","たげん","6級から","","","28651","常用漢字表","校正不要"
"流派","りゅうは","5級から","","","28668","常用漢字表","校正不要"
"号令","ごうれい","6級から","","","28689","常用漢字表","校正不要"
"誤植","ごしょく","5級から","","","28728","常用漢字表","校正不要"
"本尊","ほんぞん","5級から","","","28734","常用漢字表","校正不要"
"合点","がてん","6級から","","がてん / がってん / ごうてん","28761","常用漢字表","校正不要"
"冬至","とうじ","5級から","","","28794","常用漢字表","校正不要"
"円周","えんしゅう","6級から","","","28867","常用漢字表","校正不要"
"残余","ざんよ","6級から","","","28892","常用漢字表","校正不要"
"口述","こうじゅつ","6級から","","","28905","常用漢字表","校正不要"
"存亡","そんぼう","5級から","","","28906","常用漢字表","校正不要"
"夜半","やはん","6級から","","やはん / よわ","29048","常用漢字表","校正不要"
"進退","しんたい","5級から","","しんたい / しんだい","29061","常用漢字表","校正不要"
"片一方","かたいっぽう","5級から","","","29071","常用漢字表","校正不要"
"明星","みょうじょう","6級から","","","29129","常用漢字表","校正不要"
"初雪","はつゆき","6級から","","","29153","常用漢字表","校正不要"
"春夏秋冬","しゅんかしゅうとう","6級から","","","29174","国語辞典(JMdict)｜四字熟語","校正不要"
"残暑","ざんしょ","6級から","","","29189","常用漢字表","校正不要"
"雨季","うき","6級から","","","29244","常用漢字表","校正不要"
"度量","どりょう","6級から","","","29292","常用漢字表","校正不要"
"降雪","こうせつ","5級から","","","29314","常用漢字表","校正不要"
"庭先","にわさき","6級から","","","29335","常用漢字表","校正不要"
"石材","せきざい","6級から","","","29347","常用漢字表","校正不要"
"野性","やせい","6級から","","","29436","常用漢字表","校正不要"
"精米","せいまい","6級から","","","29442","常用漢字表","校正不要"
"桜花","おうか","6級から","","おうか / さくらばな","29530","常用漢字表","校正不要"
"隊列","たいれつ","6級から","","","29615","常用漢字表","校正不要"
"肉類","にくるい","6級から","","","29656","常用漢字表","校正不要"
"初耳","はつみみ","6級から","","","29668","常用漢字表","校正不要"
"死角","しかく","6級から","","","29669","常用漢字表","校正不要"
"雑木林","ぞうきばやし","6級から","","ぞうきばやし / ざつぼくりん","29690","常用漢字表","校正不要"
"家来","けらい","6級から","","","29729","常用漢字表","校正不要"
"再来週","さらいしゅう","6級から","","","29813","常用漢字表","校正不要"
"等分","とうぶん","6級から","","","29820","常用漢字表","校正不要"
"不純","ふじゅん","5級から","","","29844","常用漢字表","校正不要"
"皮革","ひかく","5級から","","","29852","常用漢字表","校正不要"
"表裏","ひょうり","5級から","","ひょうり / おもてうら","29869","常用漢字表","校正不要"
"街路樹","がいろじゅ","5級から","","","29876","常用漢字表","校正不要"
"快活","かいかつ","6級から","","","29904","常用漢字表","校正不要"
"会得","えとく","6級から","","","29946","常用漢字表","校正不要"
"鉄製","てっせい","6級から","","てっせい / てつせい","29979","常用漢字表","校正不要"
"菜食","さいしょく","6級から","","","30162","常用漢字表","校正不要"
"不協和音","ふきょうわおん","6級から","","","30226","国語辞典(JMdict)｜四字熟語","校正不要"
"市井","しせい","6級から","","しせい / いちい","30234","常用漢字表","校正不要"
"円柱","えんちゅう","6級から","","えんちゅう / まるばしら","30295","常用漢字表","校正不要"
"成仏","じょうぶつ","6級から","","","30314","常用漢字表","校正不要"
"救護","きゅうご","6級から","","","30395","常用漢字表","校正不要"
"干物","ほしもの","5級から","","ほしもの / ひもの / かんぶつ","30449","常用漢字表","校正不要"
"一朝一夕","いっちょういっせき","6級から","","","30459","常用漢字表","校正不要"
"鉄鉱","てっこう","6級から","","","30469","常用漢字表","校正不要"
"定石","じょうせき","6級から","","","30489","常用漢字表","校正不要"
"年頭","ねんとう","6級から","","ねんとう / としがしら","30500","常用漢字表","校正不要"
"落葉","おちば","6級から","","おちば / らくよう","30562","常用漢字表","校正不要"
"表札","ひょうさつ","6級から","","","30586","常用漢字表","校正不要"
"格式","かくしき","6級から","","かくしき / きゃくしき","30587","常用漢字表","校正不要"
"映写","えいしゃ","5級から","","","30628","常用漢字表","校正不要"
"散文","さんぶん","6級から","","","30634","常用漢字表","校正不要"
"装束","しょうぞく","5級から","","しょうぞく / そうぞく","30638","常用漢字表","校正不要"
"内省","ないせい","6級から","","","30684","常用漢字表","校正不要"
"実直","じっちょく","6級から","","","30688","常用漢字表","校正不要"
"美男","びなん","6級から","","びなん / びだん","30730","常用漢字表","校正不要"
"天女","てんにょ","6級から","","","30732","常用漢字表","校正不要"
"敬服","けいふく","5級から","","","30843","常用漢字表","校正不要"
"転出","てんしゅつ","6級から","","","30884","常用漢字表","校正不要"
"岸辺","きしべ","6級から","","","30885","常用漢字表","校正不要"
"実働","じつどう","6級から","","","30901","常用漢字表","校正不要"
"出入","しゅつにゅう","6級から","","","30930","常用漢字表","校正不要"
"改組","かいそ","6級から","","","30933","常用漢字表","校正不要"
"険悪","けんあく","6級から","","","30936","常用漢字表","校正不要"
"冷水","れいすい","6級から","","","30960","国語辞典(JMdict)｜対義語・熟語の構成で使う語","校正不要"
"交配","こうはい","6級から","","","31001","常用漢字表","校正不要"
"裏口","うらぐち","5級から","","","31026","常用漢字表","校正不要"
"転回","てんかい","6級から","","","31035","常用漢字表","校正不要"
"新芽","しんめ","6級から","","","31036","常用漢字表","校正不要"
"通読","つうどく","6級から","","","31042","常用漢字表","校正不要"
"心機一転","しんきいってん","6級から","","","31435","国語辞典(JMdict)｜四字熟語","校正不要"
"官憲","かんけん","5級から","","","31444","常用漢字表","校正不要"
"罪状","ざいじょう","6級から","","","31544","常用漢字表","校正不要"
"布地","ぬのじ","6級から","","ぬのじ / きれじ","31548","常用漢字表","校正不要"
"開口一番","かいこういちばん","6級から","","","31580","国語辞典(JMdict)｜四字熟語","校正不要"
"他力本願","たりきほんがん","6級から","","","31632","国語辞典(JMdict)｜四字熟語","校正不要"
"素足","すあし","6級から","","","31660","常用漢字表","校正不要"
"湖水","こすい","6級から","","","31681","常用漢字表","校正不要"
"英断","えいだん","6級から","","","31701","常用漢字表","校正不要"
"人望","じんぼう","6級から","","","31825","常用漢字表","校正不要"
"木立","こだち","6級から","","","31827","常用漢字表","校正不要"
"弓道","きゅうどう","6級から","","","31828","常用漢字表","校正不要"
"悪寒","おかん","6級から","","","31837","常用漢字表","校正不要"
"寄宿舎","きしゅくしゃ","6級から","","","31922","常用漢字表","校正不要"
"神主","かんぬし","6級から","","","31930","常用漢字表","校正不要"
"長短","ちょうたん","6級から","","","31937","常用漢字表","校正不要"
"四六時中","しろくじちゅう","6級から","","","31941","国語辞典(JMdict)｜四字熟語","校正不要"
"新語","しんご","6級から","","","32090","常用漢字表","校正不要"
"羊毛","ようもう","6級から","","","32190","常用漢字表","校正不要"
"一座","いちざ","5級から","","","32259","常用漢字表","校正不要"
"早晩","そうばん","5級から","","","32266","常用漢字表","校正不要"
"節操","せっそう","5級から","","","32310","常用漢字表","校正不要"
"自首","じしゅ","6級から","","","32342","常用漢字表","校正不要"
"徒党","ととう","5級から","","","32349","常用漢字表","校正不要"
"旗手","きしゅ","6級から","","","32406","常用漢字表","校正不要"
"名医","めいい","6級から","","","32417","常用漢字表","校正不要"
"潔白","けっぱく","6級から","","","32454","常用漢字表","校正不要"
"雨雲","あまぐも","6級から","","","32558","常用漢字表","校正不要"
"小皿","こざら","6級から","","","32583","国語辞典(JMdict)｜要校正","校正不要"
"不労所得","ふろうしょとく","6級から","","","32601","国語辞典(JMdict)｜四字熟語","校正不要"
"開眼","かいがん","6級から","","かいがん / かいげん","32609","常用漢字表","校正不要"
"林立","りんりつ","6級から","","","32612","常用漢字表","校正不要"
"再来年","さらいねん","6級から","","","32621","常用漢字表","校正不要"
"降参","こうさん","5級から","","","32625","常用漢字表","校正不要"
"曲面","きょくめん","6級から","","","32679","常用漢字表","校正不要"
"亡者","もうじゃ","5級から","","","32694","常用漢字表","校正不要"
"孝行","こうこう","5級から","","","32735","常用漢字表","校正不要"
"殺生","せっしょう","6級から","","","32842","常用漢字表","校正不要"
"灯火","とうか","6級から","","とうか / ともしび","32929","常用漢字表","校正不要"
"大黒柱","だいこくばしら","6級から","","","32954","常用漢字表","校正不要"
"局部","きょくぶ","6級から","","","32996","常用漢字表","校正不要"
"沿海","えんかい","5級から","","","33037","常用漢字表","校正不要"
"潮風","しおかぜ","5級から","","","33262","常用漢字表","校正不要"
"月見","つきみ","6級から","","","33301","常用漢字表","校正不要"
"型紙","かたがみ","6級から","","","33311","常用漢字表","校正不要"
"絵図","えず","6級から","","","33331","常用漢字表","校正不要"
"川岸","かわぎし","6級から","","","33378","常用漢字表","校正不要"
"処世","しょせい","5級から","","","33448","常用漢字表","校正不要"
"酒蔵","さかぐら","5級から","","","33481","常用漢字表","校正不要"
"一対","いっつい","6級から","","","33505","常用漢字表","校正不要"
"火山灰","かざんばい","5級から","","","33574","常用漢字表","校正不要"
"外道","げどう","6級から","","","33589","常用漢字表","校正不要"
"木炭","もくたん","6級から","","もくたん / きずみ","33617","常用漢字表","校正不要"
"適材適所","てきざいてきしょ","6級から","","","33651","国語辞典(JMdict)｜四字熟語","校正不要"
"義兄","ぎけい","6級から","","ぎけい / あに","33700","常用漢字表","校正不要"
"船頭","せんどう","6級から","","","33816","常用漢字表","校正不要"
"句読点","くとうてん","6級から","","","33906","常用漢字表","校正不要"
"親心","おやごころ","6級から","","","33986","常用漢字表","校正不要"
"赤土","あかつち","6級から","","","34015","常用漢字表","校正不要"
"形見","かたみ","6級から","","","34051","常用漢字表","校正不要"
"生糸","きいと","6級から","","","34069","常用漢字表","校正不要"
"湯治","とうじ","6級から","","","34113","常用漢字表","校正不要"
"花弁","かべん","6級から","","","34126","常用漢字表","校正不要"
"八方","はっぽう","6級から","","","34173","常用漢字表","校正不要"
"事実無根","じじつむこん","6級から","","","34229","国語辞典(JMdict)｜四字熟語","校正不要"
"台地","だいち","6級から","","","34280","常用漢字表","校正不要"
"客車","きゃくしゃ","6級から","","きゃくしゃ / かくしゃ","34314","常用漢字表","校正不要"
"大船","おおぶね","6級から","","おおぶね / おおふね / たいせん","34342","常用漢字表","校正不要"
"詩歌","しか","6級から","","","34367","常用漢字表","校正不要"
"宿屋","やどや","6級から","","","34408","常用漢字表","校正不要"
"奈落","ならく","6級から","","","34529","常用漢字表","校正不要"
"誠心誠意","せいしんせいい","5級から","","","34538","国語辞典(JMdict)｜四字熟語","校正不要"
"女心","おんなごころ","6級から","","","34604","常用漢字表","校正不要"
"月夜","つきよ","6級から","","つきよ / げつや","34618","常用漢字表","校正不要"
"一心不乱","いっしんふらん","5級から","","","34642","国語辞典(JMdict)｜四字熟語","校正不要"
"字句","じく","6級から","","","34669","常用漢字表","校正不要"
"全焼","ぜんしょう","6級から","","","34702","常用漢字表","校正不要"
"立春","りっしゅん","6級から","","","34730","常用漢字表","校正不要"
"雨戸","あまど","6級から","","","34745","常用漢字表","校正不要"
"夕立","ゆうだち","6級から","","","34832","常用漢字表","校正不要"
"一長一短","いっちょういったん","6級から","","","34841","国語辞典(JMdict)｜四字熟語","校正不要"
"墓穴","ぼけつ","5級から","","ぼけつ / はかあな","34852","常用漢字表","校正不要"
"衆生","しゅじょう","5級から","","しゅじょう / しゅうせい","34877","常用漢字表","校正不要"
"鉄橋","てっきょう","6級から","","","34901","常用漢字表","校正不要"
"大字","おおあざ","6級から","","おおあざ / だいじ","34906","常用漢字表","校正不要"
"自供","じきょう","5級から","","","34998","常用漢字表","校正不要"
"帰京","ききょう","6級から","","","35089","常用漢字表","校正不要"
"毒薬","どくやく","6級から","","","35092","常用漢字表","校正不要"
"弓矢","ゆみや","6級から","","ゆみや / きゅうし","35094","常用漢字表","校正不要"
"箱庭","はこにわ","6級から","","","35120","常用漢字表","校正不要"
"文武","ぶんぶ","6級から","","","35168","常用漢字表","校正不要"
"建議","けんぎ","6級から","","","35174","常用漢字表","校正不要"
"本望","ほんもう","6級から","","","35228","常用漢字表","校正不要"
"砂場","すなば","5級から","","","35292","常用漢字表","校正不要"
"納屋","なや","5級から","","","35295","常用漢字表","校正不要"
"張力","ちょうりょく","6級から","","","35360","常用漢字表","校正不要"
"底流","ていりゅう","6級から","","","35367","常用漢字表","校正不要"
"鉄棒","てつぼう","5級から","","","35370","常用漢字表","校正不要"
"毛虫","けむし","6級から","","","35371","常用漢字表","校正不要"
"純潔","じゅんけつ","5級から","","","35398","常用漢字表","校正不要"
"供物","くもつ","5級から","","","35443","常用漢字表","校正不要"
"女人","にょにん","6級から","","にょにん / じょじん","35450","常用漢字表","校正不要"
"祭礼","さいれい","6級から","","","35506","常用漢字表","校正不要"
"町会","ちょうかい","6級から","","","35509","常用漢字表","校正不要"
"国史","こくし","6級から","","","35517","常用漢字表","校正不要"
"頭角","とうかく","6級から","","","35580","常用漢字表","校正不要"
"七五三","しちごさん","6級から","","","35601","常用漢字表","校正不要"
"戸外","こがい","6級から","","","35735","常用漢字表","校正不要"
"守衛","しゅえい","6級から","","","35785","常用漢字表","校正不要"
"地階","ちかい","6級から","","","35806","常用漢字表","校正不要"
"雨量","うりょう","6級から","","","35883","常用漢字表","校正不要"
"北半球","きたはんきゅう","6級から","","","35900","常用漢字表","校正不要"
"赤飯","せきはん","6級から","","","35926","常用漢字表","校正不要"
"今昔","こんじゃく","6級から","","こんじゃく / こんせき","36013","常用漢字表","校正不要"
"害悪","がいあく","6級から","","","36078","常用漢字表","校正不要"
"眼力","がんりき","6級から","","がんりき / がんりょく","36079","常用漢字表","校正不要"
"西日","にしび","6級から","","にしび / せいにち","36094","常用漢字表","校正不要"
"給仕","きゅうじ","6級から","","","36190","常用漢字表","校正不要"
"法皇","ほうおう","5級から","","","36212","常用漢字表","校正不要"
"液状","えきじょう","6級から","","","36238","常用漢字表","校正不要"
"一問一答","いちもんいっとう","6級から","","","36277","国語辞典(JMdict)｜四字熟語","校正不要"
"船旅","ふなたび","6級から","","","36332","常用漢字表","校正不要"
"因果応報","いんがおうほう","6級から","","","36347","国語辞典(JMdict)｜四字熟語","校正不要"
"必定","ひつじょう","6級から","","","36385","常用漢字表","校正不要"
"十人十色","じゅうにんといろ","6級から","","","36412","国語辞典(JMdict)｜四字熟語","校正不要"
"一念発起","いちねんほっき","6級から","","","36522","国語辞典(JMdict)｜四字熟語","校正不要"
"青銅","せいどう","6級から","","","36534","常用漢字表","校正不要"
"尊大","そんだい","5級から","","","36547","常用漢字表","校正不要"
"容態","ようだい","6級から","","ようだい / ようたい","36559","常用漢字表","校正不要"
"起承転結","きしょうてんけつ","5級から","","","36576","国語辞典(JMdict)｜四字熟語","校正不要"
"胸中","きょうちゅう","5級から","","","36579","常用漢字表","校正不要"
"一夫多妻","いっぷたさい","6級から","","","36582","国語辞典(JMdict)｜四字熟語","校正不要"
"質屋","しちや","6級から","","","36637","常用漢字表","校正不要"
"番茶","ばんちゃ","6級から","","","36714","常用漢字表","校正不要"
"真紅","しんく","5級から","","","36734","常用漢字表","校正不要"
"逆上","ぎゃくじょう","6級から","","","36755","常用漢字表","校正不要"
"言行","げんこう","6級から","","","36756","常用漢字表","校正不要"
"松林","まつばやし","6級から","","","36760","常用漢字表","校正不要"
"球形","きゅうけい","6級から","","","36772","常用漢字表","校正不要"
"正誤","せいご","5級から","","","36815","常用漢字表","校正不要"
"徒労","とろう","6級から","","","36838","常用漢字表","校正不要"
"銀貨","ぎんか","6級から","","","36843","常用漢字表","校正不要"
"真昼","まひる","6級から","","","36844","常用漢字表","校正不要"
"白昼","はくちゅう","6級から","","","36857","常用漢字表","校正不要"
"門下生","もんかせい","6級から","","","36881","常用漢字表","校正不要"
"修養","しゅうよう","6級から","","","36915","常用漢字表","校正不要"
"採光","さいこう","6級から","","","36971","常用漢字表","校正不要"
"一輪","いちりん","6級から","","","36998","常用漢字表","校正不要"
"計略","けいりゃく","6級から","","","37191","常用漢字表","校正不要"
"単刀直入","たんとうちょくにゅう","6級から","","","37198","国語辞典(JMdict)｜四字熟語","校正不要"
"一進一退","いっしんいったい","5級から","","","37235","国語辞典(JMdict)｜四字熟語","校正不要"
"深山","みやま","6級から","","みやま / しんざん","37238","常用漢字表","校正不要"
"義妹","ぎまい","6級から","","","37408","常用漢字表","校正不要"
"器量","きりょう","6級から","","","37448","常用漢字表","校正不要"
"工面","くめん","6級から","","くめん / ぐめん","37530","常用漢字表","校正不要"
"絶体絶命","ぜったいぜつめい","6級から","","","37555","国語辞典(JMdict)｜四字熟語","校正不要"
"一巻","いっかん","5級から","","いっかん / ひとまき / いちまき","37675","常用漢字表","校正不要"
"天変地異","てんぺんちい","5級から","","","37732","国語辞典(JMdict)｜四字熟語","校正不要"
"川下","かわしも","6級から","","","37795","常用漢字表","校正不要"
"新妻","にいづま","6級から","","","37891","常用漢字表","校正不要"
"製糖","せいとう","5級から","","","37949","常用漢字表","校正不要"
"権現","ごんげん","5級から","","","38015","常用漢字表","校正不要"
"唱歌","しょうか","6級から","","しょうか / しょうが","38076","常用漢字表","校正不要"
"風雲","ふううん","6級から","","ふううん / かざぐも / かぜくも","38101","常用漢字表","校正不要"
"寒空","さむぞら","6級から","","","38124","常用漢字表","校正不要"
"円熟","えんじゅく","5級から","","","38183","常用漢字表","校正不要"
"権化","ごんげ","5級から","","","38304","常用漢字表","校正不要"
"岩塩","がんえん","6級から","","がんえん / いわしお","38398","常用漢字表","校正不要"
"義弟","ぎてい","6級から","","","38441","常用漢字表","校正不要"
"筆舌","ひつぜつ","5級から","","","38535","常用漢字表","校正不要"
"富国強兵","ふこくきょうへい","6級から","","","38555","国語辞典(JMdict)｜四字熟語","校正不要"
"米作","べいさく","6級から","","","38561","常用漢字表","校正不要"
"滋養","じよう","6級から","","","38678","常用漢字表","校正不要"
"晴耕雨読","せいこううどく","6級から","","","38722","国語辞典(JMdict)｜四字熟語","校正不要"
"社寺","しゃじ","6級から","","","38806","常用漢字表","校正不要"
"悲喜","ひき","6級から","","","39034","常用漢字表","校正不要"
"初夢","はつゆめ","6級から","","","39079","常用漢字表","校正不要"
"歴訪","れきほう","5級から","","","39085","常用漢字表","校正不要"
"旧道","きゅうどう","6級から","","","39172","常用漢字表","校正不要"
"樹皮","じゅひ","5級から","","","39185","常用漢字表","校正不要"
"明朗","めいろう","5級から","","","39193","常用漢字表","校正不要"
"並立","へいりつ","5級から","","","39219","常用漢字表","校正不要"
"所望","しょもう","6級から","","","39265","常用漢字表","校正不要"
"弱虫","よわむし","6級から","","","39305","常用漢字表","校正不要"
"不老不死","ふろうふし","6級から","","","39309","国語辞典(JMdict)｜四字熟語","校正不要"
"点呼","てんこ","5級から","","","39505","常用漢字表","校正不要"
"治外法権","ちがいほうけん","5級から","","","39601","国語辞典(JMdict)｜四字熟語","校正不要"
"追試","ついし","6級から","","","39656","常用漢字表","校正不要"
"点線","てんせん","6級から","","","39692","常用漢字表","校正不要"
"異口同音","いくどうおん","5級から","","いくどうおん / いこうどうおん","39759","常用漢字表","校正不要"
"無比","むひ","6級から","","","39760","常用漢字表","校正不要"
"以心伝心","いしんでんしん","6級から","","","39840","国語辞典(JMdict)｜四字熟語","校正不要"
"七福神","しちふくじん","6級から","","","39843","常用漢字表","校正不要"
"大皿","おおざら","6級から","","","39901","国語辞典(JMdict)｜要校正","校正不要"
"子宝","こだから","5級から","","","40037","常用漢字表","校正不要"
"東宮","とうぐう","6級から","","","40041","常用漢字表","校正不要"
"知己","ちき","5級から","","","40077","常用漢字表","校正不要"
"絶食","ぜっしょく","6級から","","","40078","常用漢字表","校正不要"
"童顔","どうがん","6級から","","","40107","常用漢字表","校正不要"
"秒速","びょうそく","6級から","","","40117","常用漢字表","校正不要"
"常夏","とこなつ","6級から","","","40133","常用漢字表","校正不要"
"捨象","しゃしょう","5級から","","","40296","常用漢字表","校正不要"
"美点","びてん","6級から","","","40340","国語辞典(JMdict)｜対義語・熟語の構成で使う語","校正不要"
"写経","しゃきょう","6級から","","","40342","常用漢字表","校正不要"
"豊満","ほうまん","6級から","","","40346","常用漢字表","校正不要"
"日進月歩","にっしんげっぽ","6級から","","","40352","国語辞典(JMdict)｜四字熟語","校正不要"
"童心","どうしん","6級から","","","40359","常用漢字表","校正不要"
"大枚","たいまい","5級から","","","40370","常用漢字表","校正不要"
"玉座","ぎょくざ","5級から","","","40372","常用漢字表","校正不要"
"敵役","かたきやく","5級から","","かたきやく / てきやく","40387","常用漢字表","校正不要"
"立身出世","りっしんしゅっせ","6級から","","","40407","国語辞典(JMdict)｜四字熟語","校正不要"
"臣下","しんか","6級から","","","40501","常用漢字表","校正不要"
"厚紙","あつがみ","6級から","","","40511","常用漢字表","校正不要"
"四方八方","しほうはっぽう","6級から","","","40539","国語辞典(JMdict)｜四字熟語","校正不要"
"雨具","あまぐ","6級から","","","40601","常用漢字表","校正不要"
